Start(s),Pitch(Hz),Probability[0-1.0],Source
4.22603,252.32027,0.87711,TARSOS_YIN
4.41179,225.23668,0.88673,TARSOS_YIN
4.43501,222.63162,0.96860,TARSOS_YIN
4.45823,221.18355,0.95547,TARSOS_YIN
4.48145,218.80736,0.96561,TARSOS_YIN
4.50467,217.03003,0.96554,TARSOS_YIN
4.52789,218.98253,0.96865,TARSOS_YIN
4.57433,224.90755,0.98085,TARSOS_YIN
4.59755,224.99173,0.98241,TARSOS_YIN
4.62077,225.77919,0.98569,TARSOS_YIN
4.64399,225.69582,0.97373,TARSOS_YIN
4.66721,220.00444,0.96779,TARSOS_YIN
4.69043,215.59506,0.95614,TARSOS_YIN
4.71365,214.88164,0.93821,TARSOS_YIN
4.73687,216.30017,0.94369,TARSOS_YIN
4.76009,219.92485,0.95662,TARSOS_YIN
4.78331,221.96123,0.96925,TARSOS_YIN
4.80653,222.65273,0.97715,TARSOS_YIN
4.82975,220.59233,0.97174,TARSOS_YIN
4.85297,221.07724,0.97397,TARSOS_YIN
4.87619,220.88239,0.97792,TARSOS_YIN
4.89941,220.87437,0.97026,TARSOS_YIN
4.92263,224.79904,0.97536,TARSOS_YIN
4.94585,227.95265,0.98037,TARSOS_YIN
4.96907,228.40121,0.97098,TARSOS_YIN
4.99229,224.59486,0.97862,TARSOS_YIN
5.01551,224.05244,0.96336,TARSOS_YIN
5.03873,223.12202,0.87782,TARSOS_YIN
5.54957,157.78154,0.93231,TARSOS_YIN
5.57279,158.59724,0.96800,TARSOS_YIN
5.59601,162.09694,0.92624,TARSOS_YIN
5.61923,167.16643,0.92022,TARSOS_YIN
5.64245,173.44302,0.87394,TARSOS_YIN
5.66567,177.87231,0.82197,TARSOS_YIN
5.89787,169.07339,0.93103,TARSOS_YIN
5.92109,172.77980,0.93718,TARSOS_YIN
5.94431,173.00316,0.94251,TARSOS_YIN
5.96753,174.26387,0.93816,TARSOS_YIN
5.99075,174.02449,0.95514,TARSOS_YIN
6.01397,173.64645,0.96074,TARSOS_YIN
6.03719,173.30983,0.93782,TARSOS_YIN
6.06041,174.87553,0.94150,TARSOS_YIN
6.08363,175.97659,0.94847,TARSOS_YIN
6.10685,176.95644,0.91930,TARSOS_YIN
6.13007,178.50459,0.92776,TARSOS_YIN
6.15329,176.49609,0.93175,TARSOS_YIN
6.17651,175.17313,0.93755,TARSOS_YIN
6.19973,174.24576,0.94439,TARSOS_YIN
6.22295,172.80530,0.92877,TARSOS_YIN
6.24617,171.90941,0.93217,TARSOS_YIN
6.26939,173.49510,0.93107,TARSOS_YIN
6.29261,175.11049,0.92635,TARSOS_YIN
6.31583,176.90782,0.92874,TARSOS_YIN
6.33905,179.15379,0.91027,TARSOS_YIN
6.36227,178.84113,0.90091,TARSOS_YIN
6.38549,179.39981,0.89360,TARSOS_YIN
6.40871,177.33127,0.86509,TARSOS_YIN
6.43193,176.37891,0.85309,TARSOS_YIN
6.45515,176.03033,0.89758,TARSOS_YIN
6.68735,193.72337,0.86429,TARSOS_YIN
6.71057,194.84218,0.95553,TARSOS_YIN
6.73379,199.93170,0.88624,TARSOS_YIN
6.75701,208.66560,0.91066,TARSOS_YIN
6.78023,213.71303,0.90225,TARSOS_YIN
6.80345,219.01361,0.87183,TARSOS_YIN
6.82667,220.78665,0.93089,TARSOS_YIN
6.84989,220.91545,0.95235,TARSOS_YIN
6.87311,219.20941,0.95421,TARSOS_YIN
6.89633,219.06647,0.96403,TARSOS_YIN
6.91955,222.03177,0.95461,TARSOS_YIN
6.94277,221.87259,0.96157,TARSOS_YIN
6.96599,221.14603,0.97672,TARSOS_YIN
6.98921,222.22343,0.96958,TARSOS_YIN
7.01243,221.00385,0.97224,TARSOS_YIN
7.03565,221.44312,0.97223,TARSOS_YIN
7.05887,221.93660,0.96764,TARSOS_YIN
7.08209,223.51616,0.97752,TARSOS_YIN
7.10531,224.16113,0.96915,TARSOS_YIN
7.12853,223.54901,0.97958,TARSOS_YIN
7.15175,222.08557,0.97885,TARSOS_YIN
7.17497,221.22856,0.97249,TARSOS_YIN
7.19819,221.13361,0.97943,TARSOS_YIN
7.22141,223.55193,0.98588,TARSOS_YIN
7.24463,226.33366,0.98512,TARSOS_YIN
7.26785,225.50784,0.98369,TARSOS_YIN
7.29107,224.16772,0.98036,TARSOS_YIN
7.31429,222.73364,0.98096,TARSOS_YIN
7.33751,222.64226,0.98416,TARSOS_YIN
7.36073,223.48454,0.98024,TARSOS_YIN
7.38395,223.64987,0.98598,TARSOS_YIN
7.40717,222.67804,0.98764,TARSOS_YIN
7.45361,215.45857,0.96188,TARSOS_YIN
7.50005,192.95494,0.82729,TARSOS_YIN
7.56971,166.30424,0.90054,TARSOS_YIN
7.59293,166.75320,0.92645,TARSOS_YIN
7.61615,167.99156,0.90301,TARSOS_YIN
7.63937,168.93736,0.89715,TARSOS_YIN
7.66259,171.94464,0.87597,TARSOS_YIN
7.68580,174.74496,0.80343,TARSOS_YIN
7.73224,176.67278,0.81011,TARSOS_YIN
7.75547,178.75113,0.82580,TARSOS_YIN
7.77868,180.34993,0.87344,TARSOS_YIN
7.80190,184.27231,0.86344,TARSOS_YIN
7.82512,191.78766,0.81635,TARSOS_YIN
7.84834,199.47530,0.82601,TARSOS_YIN
7.87156,209.75204,0.87522,TARSOS_YIN
7.89478,218.74445,0.85827,TARSOS_YIN
7.91800,223.32156,0.93431,TARSOS_YIN
7.94122,220.54158,0.93670,TARSOS_YIN
7.96444,211.53250,0.87476,TARSOS_YIN
7.98766,202.37343,0.83549,TARSOS_YIN
8.01088,187.64613,0.80255,TARSOS_YIN
8.03410,178.08063,0.85128,TARSOS_YIN
8.05732,174.00040,0.82350,TARSOS_YIN
8.08054,171.91379,0.90134,TARSOS_YIN
8.10376,170.98711,0.85419,TARSOS_YIN
8.12698,168.95680,0.84420,TARSOS_YIN
8.15020,172.65108,0.82824,TARSOS_YIN
8.17342,173.76785,0.85948,TARSOS_YIN
8.19664,174.81381,0.90156,TARSOS_YIN
8.21986,175.08662,0.92228,TARSOS_YIN
8.24308,175.81717,0.86777,TARSOS_YIN
8.26630,175.08405,0.89067,TARSOS_YIN
8.28952,175.20551,0.88923,TARSOS_YIN
8.31274,175.43820,0.85475,TARSOS_YIN
8.33596,176.29916,0.85749,TARSOS_YIN
8.35918,176.29510,0.84971,TARSOS_YIN
8.38240,175.75494,0.85516,TARSOS_YIN
8.40562,176.42905,0.87917,TARSOS_YIN
8.42884,175.95486,0.83468,TARSOS_YIN
8.45206,174.27548,0.85770,TARSOS_YIN
8.47528,174.17311,0.87367,TARSOS_YIN
8.49850,175.77287,0.82822,TARSOS_YIN
8.52172,177.83977,0.81918,TARSOS_YIN
8.54494,178.88992,0.81343,TARSOS_YIN
8.59138,180.57925,0.81048,TARSOS_YIN
8.66104,172.89381,0.82886,TARSOS_YIN
9.38086,160.07239,0.88932,TARSOS_YIN
9.40408,164.90076,0.95095,TARSOS_YIN
9.42730,168.82820,0.95022,TARSOS_YIN
9.45052,172.57764,0.85544,TARSOS_YIN
9.49696,178.04887,0.83152,TARSOS_YIN
9.72916,168.27821,0.95181,TARSOS_YIN
9.75238,170.78949,0.93017,TARSOS_YIN
9.77560,173.90146,0.92605,TARSOS_YIN
9.79882,175.09023,0.96205,TARSOS_YIN
