Start(s),Pitch(Hz),Probability[0-1.0],Source
3.48299,231.4203,0.98954,TARSOS_YIN
3.50621,229.57045,0.99433,TARSOS_YIN
3.52943,229.09526,0.99544,TARSOS_YIN
3.55265,231.16713,0.99542,TARSOS_YIN
3.57587,232.14072,0.99529,TARSOS_YIN
3.59909,232.22343,0.99546,TARSOS_YIN
3.62231,236.52711,0.98257,TARSOS_YIN
3.64553,238.97375,0.98618,TARSOS_YIN
3.66875,236.46881,0.9865,TARSOS_YIN
3.69197,234.18022,0.99163,TARSOS_YIN
3.71519,234.7657,0.996,TARSOS_YIN
3.73841,236.27924,0.98938,TARSOS_YIN
3.76163,242.92337,0.97165,TARSOS_YIN
3.78485,256.81424,0.95638,TARSOS_YIN
3.80807,273.55637,0.95172,TARSOS_YIN
3.83129,291.61871,0.978,TARSOS_YIN
3.85451,318.93817,0.96485,TARSOS_YIN
3.87773,319.11194,0.99426,TARSOS_YIN
3.90095,310.7135,0.96385,TARSOS_YIN
3.92417,293.43521,0.95863,TARSOS_YIN
3.94739,287.9679,0.98608,TARSOS_YIN
3.97061,286.52972,0.98852,TARSOS_YIN
3.99383,282.92126,0.98288,TARSOS_YIN
4.01705,281.88531,0.99624,TARSOS_YIN
4.04027,281.80457,0.99667,TARSOS_YIN
4.06349,276.83203,0.99138,TARSOS_YIN
4.08671,258.66379,0.9005,TARSOS_YIN
4.10993,238.77887,0.90233,TARSOS_YIN
4.13315,229.64478,0.95713,TARSOS_YIN
4.15637,227.44766,0.98719,TARSOS_YIN
4.17959,229.41772,0.99125,TARSOS_YIN
4.20281,231.80556,0.99109,TARSOS_YIN
4.22603,232.57106,0.99449,TARSOS_YIN
4.24925,231.71268,0.9935,TARSOS_YIN
4.27247,230.57539,0.9954,TARSOS_YIN
4.29569,230.32918,0.99636,TARSOS_YIN
4.31891,230.49681,0.99576,TARSOS_YIN
4.34213,229.23322,0.99542,TARSOS_YIN
4.36535,231.77509,0.99365,TARSOS_YIN
4.38857,234.08635,0.99509,TARSOS_YIN
4.41179,236.9426,0.99003,TARSOS_YIN
4.43501,237.38226,0.99197,TARSOS_YIN
4.45823,235.79555,0.9922,TARSOS_YIN
4.48145,232.59276,0.99161,TARSOS_YIN
4.50467,230.99588,0.99601,TARSOS_YIN
4.52789,232.65544,0.98761,TARSOS_YIN
4.55111,234.66917,0.99607,TARSOS_YIN
4.57433,234.13905,0.99425,TARSOS_YIN
4.59755,232.51563,0.99215,TARSOS_YIN
4.62077,231.25511,0.99532,TARSOS_YIN
4.64399,231.04987,0.99376,TARSOS_YIN
4.66721,230.85596,0.99716,TARSOS_YIN
4.69043,232.40704,0.99428,TARSOS_YIN
4.71365,233.28777,0.99618,TARSOS_YIN
4.73687,233.08794,0.99204,TARSOS_YIN
4.76009,235.12573,0.99038,TARSOS_YIN
4.78331,233.49275,0.98654,TARSOS_YIN
4.80653,230.63127,0.99409,TARSOS_YIN
4.82975,229.41643,0.99605,TARSOS_YIN
4.85297,228.23885,0.99134,TARSOS_YIN
4.87619,231.3846,0.99402,TARSOS_YIN
4.89941,232.37733,0.99618,TARSOS_YIN
4.92263,232.52768,0.98345,TARSOS_YIN
4.94585,233.04614,0.98602,TARSOS_YIN
4.96907,233.41724,0.99116,TARSOS_YIN
4.99229,234.85786,0.9943,TARSOS_YIN
5.01551,234.97919,0.99477,TARSOS_YIN
5.03873,234.48921,0.99639,TARSOS_YIN
5.06195,233.13016,0.99546,TARSOS_YIN
5.08517,233.694,0.99462,TARSOS_YIN
5.10839,235.77237,0.99273,TARSOS_YIN
5.13161,235.62825,0.99217,TARSOS_YIN
5.15483,232.49356,0.99044,TARSOS_YIN
5.17805,232.57208,0.99352,TARSOS_YIN
5.20127,234.60684,0.99136,TARSOS_YIN
5.22449,235.51305,0.99202,TARSOS_YIN
5.24771,234.41037,0.99295,TARSOS_YIN
5.27093,234.36766,0.9938,TARSOS_YIN
5.29415,234.3194,0.98723,TARSOS_YIN
5.31737,235.3054,0.93437,TARSOS_YIN
5.34059,239.5312,0.91461,TARSOS_YIN
6.68735,173.41457,0.81617,TARSOS_YIN
6.73379,190.13301,0.87717,TARSOS_YIN
6.80345,200.99937,0.98491,TARSOS_YIN
6.82667,201.62515,0.97584,TARSOS_YIN
6.84989,199.09567,0.9823,TARSOS_YIN
6.87311,195.37793,0.98452,TARSOS_YIN
6.89633,194.31215,0.99349,TARSOS_YIN
6.91955,194.16881,0.99228,TARSOS_YIN
6.94277,193.09261,0.98389,TARSOS_YIN
6.96599,190.53026,0.97575,TARSOS_YIN
6.98921,184.09578,0.89726,TARSOS_YIN
7.01243,177.78671,0.92375,TARSOS_YIN
7.03565,170.20018,0.9787,TARSOS_YIN
7.08209,159.81238,0.98722,TARSOS_YIN
7.10531,157.36253,0.98546,TARSOS_YIN
7.12853,151.52797,0.9473,TARSOS_YIN
7.15175,150.39758,0.9873,TARSOS_YIN
7.17497,148.82011,0.99122,TARSOS_YIN
7.19819,149.1088,0.99017,TARSOS_YIN
7.22141,149.96695,0.99212,TARSOS_YIN
7.24463,150.15813,0.99411,TARSOS_YIN
7.26785,150.51479,0.99363,TARSOS_YIN
7.29107,150.49637,0.99234,TARSOS_YIN
7.31429,149.60896,0.99545,TARSOS_YIN
7.33751,149.63617,0.99419,TARSOS_YIN
7.36073,149.65295,0.99607,TARSOS_YIN
7.38395,151.06676,0.98699,TARSOS_YIN
7.40717,152.19649,0.99261,TARSOS_YIN
7.43039,152.55624,0.99016,TARSOS_YIN
7.45361,151.52573,0.97526,TARSOS_YIN
7.47683,150.15353,0.97348,TARSOS_YIN
7.50005,151.48645,0.96732,TARSOS_YIN
7.52327,153.87625,0.98417,TARSOS_YIN
7.54649,153.67204,0.98166,TARSOS_YIN
7.56971,152.46744,0.98864,TARSOS_YIN
7.59293,152.25194,0.98972,TARSOS_YIN
7.61615,153.81342,0.99104,TARSOS_YIN
7.63937,153.19009,0.98628,TARSOS_YIN
7.66259,150.89473,0.98142,TARSOS_YIN
7.6858,149.54524,0.96346,TARSOS_YIN
7.70902,144.71094,0.85979,TARSOS_YIN
7.73224,141.24809,0.91944,TARSOS_YIN
7.75547,141.09795,0.92708,TARSOS_YIN
7.77868,145.52065,0.86686,TARSOS_YIN
7.8019,149.3645,0.9418,TARSOS_YIN
7.82512,152.91109,0.93691,TARSOS_YIN
7.84834,162.89429,0.90068,TARSOS_YIN
7.918,197.774,0.82341,TARSOS_YIN
7.94122,214.50539,0.877,TARSOS_YIN
7.96444,223.23302,0.96749,TARSOS_YIN
7.98766,223.33311,0.96555,TARSOS_YIN
8.01088,222.1722,0.97295,TARSOS_YIN
8.0341,221.16148,0.98121,TARSOS_YIN
8.05732,222.34001,0.99052,TARSOS_YIN
8.08054,224.35678,0.98437,TARSOS_YIN
8.10376,227.90819,0.99235,TARSOS_YIN
8.12698,228.63728,0.99391,TARSOS_YIN
8.1502,225.66086,0.99141,TARSOS_YIN
8.17342,225.8399,0.98968,TARSOS_YIN
8.19664,226.72768,0.98381,TARSOS_YIN
8.21986,226.36894,0.98499,TARSOS_YIN
8.24308,225.07632,0.98733,TARSOS_YIN
8.2663,224.77475,0.99215,TARSOS_YIN
8.28952,227.03528,0.99163,TARSOS_YIN
8.31274,228.14752,0.99431,TARSOS_YIN
8.33596,226.91412,0.99416,TARSOS_YIN
8.35918,225.29037,0.99196,TARSOS_YIN
8.3824,223.61382,0.99482,TARSOS_YIN
8.40562,222.59906,0.99008,TARSOS_YIN
8.42884,224.6228,0.99061,TARSOS_YIN
8.45206,227.01178,0.99406,TARSOS_YIN
8.47528,228.21675,0.99339,TARSOS_YIN
8.4985,231.9442,0.99214,TARSOS_YIN
8.52172,240.34985,0.97833,TARSOS_YIN
8.54494,252.40627,0.95021,TARSOS_YIN
8.56816,265.37576,0.97765,TARSOS_YIN
8.59138,274.74774,0.97444,TARSOS_YIN
8.6146,269.30817,0.91106,TARSOS_YIN
8.63782,244.68179,0.86748,TARSOS_YIN
8.75392,231.78406,0.82458,TARSOS_YIN
8.77714,237.14001,0.85033,TARSOS_YIN
8.80036,232.22076,0.88529,TARSOS_YIN
8.82358,228.68758,0.85088,TARSOS_YIN
8.8468,228.35181,0.86213,TARSOS_YIN
8.87002,223.16663,0.8982,TARSOS_YIN
8.89324,223.81914,0.96969,TARSOS_YIN
8.91646,223.1506,0.9821,TARSOS_YIN
8.93968,223.67108,0.96921,TARSOS_YIN
8.9629,221.07686,0.97044,TARSOS_YIN
8.98612,221.31638,0.97306,TARSOS_YIN
9.00934,223.28569,0.97926,TARSOS_YIN
9.03256,223.05002,0.98139,TARSOS_YIN
9.05578,221.42259,0.97455,TARSOS_YIN
9.079,222.42018,0.98221,TARSOS_YIN
9.10222,224.24924,0.99127,TARSOS_YIN
9.12544,224.79926,0.9924,TARSOS_YIN
9.14866,223.9299,0.98848,TARSOS_YIN
9.17188,224.1691,0.97804,TARSOS_YIN
9.1951,226.41452,0.97276,TARSOS_YIN
9.21832,226.5134,0.98286,TARSOS_YIN
9.24154,225.38779,0.97076,TARSOS_YIN
9.26476,226.06194,0.98355,TARSOS_YIN
9.28798,226.57491,0.98548,TARSOS_YIN
9.3112,224.83702,0.96193,TARSOS_YIN
9.33442,223.06062,0.97852,TARSOS_YIN
9.35764,223.02318,0.97849,TARSOS_YIN
9.38086,222.28107,0.95197,TARSOS_YIN
9.40408,222.24152,0.97556,TARSOS_YIN
9.4273,223.5023,0.97432,TARSOS_YIN
9.45052,223.74983,0.98669,TARSOS_YIN
9.47374,224.6167,0.99005,TARSOS_YIN
9.49696,225.13226,0.98984,TARSOS_YIN
9.52018,225.31247,0.9873,TARSOS_YIN
9.5434,223.9509,0.97172,TARSOS_YIN
9.56662,223.18315,0.98522,TARSOS_YIN
9.58984,224.26578,0.98054,TARSOS_YIN
9.61306,224.80283,0.98381,TARSOS_YIN
9.63628,223.67291,0.98764,TARSOS_YIN
9.6595,225.34795,0.96741,TARSOS_YIN
9.68272,229.2829,0.96829,TARSOS_YIN
9.70594,228.11279,0.98086,TARSOS_YIN
9.72916,228.33713,0.98452,TARSOS_YIN
9.75238,228.36877,0.97917,TARSOS_YIN
9.7756,225.85921,0.98474,TARSOS_YIN
9.79882,224.08661,0.97045,TARSOS_YIN
9.82204,224.57646,0.98108,TARSOS_YIN
9.84526,225.25964,0.9869,TARSOS_YIN
9.86848,225.49957,0.98457,TARSOS_YIN
9.8917,224.49132,0.99115,TARSOS_YIN
9.91492,224.85585,0.98962,TARSOS_YIN
9.93814,223.29564,0.98918,TARSOS_YIN
9.96136,223.52194,0.98912,TARSOS_YIN
9.98458,224.68123,0.98839,TARSOS_YIN
10.0078,223.93304,0.98945,TARSOS_YIN
10.03102,220.87761,0.96547,TARSOS_YIN
10.05424,215.64285,0.86668,TARSOS_YIN
10.07746,202.19849,0.87949,TARSOS_YIN
10.10068,198.07292,0.92399,TARSOS_YIN
10.1239,200.07544,0.93242,TARSOS_YIN
10.14712,203.64369,0.94013,TARSOS_YIN
10.17034,203.78117,0.97289,TARSOS_YIN
10.19356,204.08636,0.98065,TARSOS_YIN
10.21678,203.92792,0.97935,TARSOS_YIN
10.24,203.72067,0.98175,TARSOS_YIN
10.26322,204.08714,0.97895,TARSOS_YIN
10.28644,205.38622,0.97409,TARSOS_YIN
10.30966,206.7428,0.95035,TARSOS_YIN
